,n,Labels,comment_text
3,16.0,0,rapporterade avpixlat om för någon timme sedan  illgal is terrorister från uzbekistan  den var en lågoddsare
4,24.0,0,hemskt det som hänt  undra om det kommer en andra våg    och en sak har man fått bekräftat  inte lita på flashback i kristider
5,55.0,0,det finns redan visst skydd på gatan  bl a  betongsuggor i form av lejon  däremot antar jag att den är relativt öppen för att det ska kunna levereras till restauranger och dyligt  om jag inte minns fel finns även bänkar och beroende på årstid enorma blomkrukor  möjligt att allt detta kan ha saktat ner farten
6,34.0,0,det är helt omöjligt att köra med lastbil på drottninggatan en fredag em och bara döda tre och skada åtta  inte ens om man försöker undvika att köra på någon  så siffrorna lär stiga
7,21.0,1,jimmie åkesson hade en längre utläggning i svt för några minuter sedan så nu kan du torka tårarna och sluta ljuga
8,9.0,0,vilken moske brukar hizb ut tahrir al qaida använda
10,,1,vänsterextrema svt intervjuar vänsterextremister i stockholm som kom som ett brev på posten om att vänsterfnasken direkt tänkte på muslimer då terroristattacken hände och inte själva offren
11,,1,muslimerna genomför här fruktansvärt terrorattentat i stockholm liknande skala som vid tidigare muslimska attentat
12,94.0,1,är det så svårt att förstå att vi är i krig med jihadister  vi är i krig med is  sverige har is krigare som är hemkomna och de kan inte dömmas för terrorism pga att lagen inte tillåter det  sverige väljer då att förbereda sig eftersom vi inte kan låsa in jihadisterna  jag vet inte vad jag blir mer upprörd över just nu  de klemande journalister och dess gäster i media eller idioter som du som försöker få detta att se ut som ett insiderjobb  new world order shit eller trump och hans henchmen
13,,1,fattar inte varför Ni hänger upp er på att det skulle vara någon gärningsman inblandad på grund av sprängämnena det är väl för fan bara att ha en sån på sig
14,,1,vad är det du inte förstår det är ett mirakel det det plötsligt fanns fler personer skadade en lastbil och en bomb på nån af stockholms mest trafikerade gågator kontra en jävla skola i trollhättan in på facebook med dig och gilla refugess istället
16,3.0,0,ekholmsgränd i vårby
18,15.0,0,många invandrare   nej  alla invandrare och andra gen  invandrare jag känner är minst lika förbannade
19,14.0,0,man vet ännu inget ifall detta har någon koppling till islam  sluta sprid rykten
20,,1,skippa deri kryptiska stilen och tala ur skägget du tror på en konspiration utifrån hur
23,,1,varför påstå det när vi enligt beskrivningen ovan helt klart är en transportfirma du skriver väldigt mycket dynga
24,43.0,0,om det inte redan har skrivits så ser denne man också väldigt centralasiatisk ut  så det skulle inte förvåna mig om han också är från uzbekistan  kanske är det en nära vän eller kanske rent av en släkting till den gripne i märsta
25,7.0,0,gör inte det  jag ångrar mig redan
26,,1,kvinna delad på mitten och halva huvudet avlägsnat från kroppen
